erp_id,province_code,lat,long,sales
718,QC,45.5133912,-73.4810832,0.622085716
720,QC,45.5358413,-73.5943268,-0.107028811
721,QC,45.4952842,-73.640073,0.770599945
729,QC,46.5633344,-72.7384109,-0.127067462
731,QC,46.8045252,-71.242154,0.03810363
738,QC,46.811432,-71.2396021,-0.955127404
741,QC,46.8372428,-71.2550438,-1.647618177
742,QC,46.8909411,-71.1892533,0.798410408
751,QC,45.500174,-73.5578058,2.80106609
774,QC,45.5480259,-73.5851377,0.171056143
776,QC,45.5218159,-73.5850035,-0.229891601
779,QC,46.8089956,-71.2260486,2.345483426
791,QC,45.4911565,-73.4784689,0.749367577
792,QC,45.5011748,-73.5798516,0.549153671
803,QC,45.5181027,-73.6199188,1.438421086
818,QC,45.4866269,-73.6346119,-0.433477774
5452,QC,45.4866269,-73.6346119,1.443446229
824,QC,45.5446559,-73.6504808,1.50300828
830,QC,45.4672014,-73.6390809,-1.353194345
843,QC,45.5019822,-73.5664947,-2.73059771
851,QC,45.5005083,-73.5714549,0.604844732
855,QC,45.5116006,-73.5596293,-1.157255779
860,QC,45.5215451,-73.5749315,0.816601384
861,QC,45.5025371,-73.5607568,-1.163990514
862,QC,45.493519,-73.582151,0.734915136
869,QC,45.5259495,-73.522557,-0.350268521
885,QC,46.5718942,-72.7620632,3.076797145
888,QC,45.7526227,-73.4310287,0.297483348
891,QC,45.7191889,-73.4677769,1.579127195
903,QC,45.529302,-73.5463929,-1.379838734
911,QC,46.8446932,-71.366122,-0.49884036
930,QC,46.8570499,-71.4113318,0.298952429
935,QC,45.5001121,-73.5665224,0.295079941
958,QC,45.573932,-73.6490685,0.829884016
976,QC,45.5382582,-73.5569217,1.314449582
991,QC,45.5017252,-73.4165303,0.244965065
993,QC,45.5570268,-73.593746,-1.471057654
995,QC,46.8372401,-71.3560875,-0.145524205
5840,QC,46.8372401,-71.3560875,0.268388001
998,QC,48.4678931,-68.5126452,1.578118305
999,QC,46.5559232,-72.7521273,1.16729876
1005,QC,45.5110528,-73.566039,1.160873333
1006,QC,46.7685071,-71.2668179,-0.054458399
1013,QC,45.7704519,-73.4233872,0.653096168
1030,QC,45.494002,-73.5820276,5.073654074
6112,QC,45.4943351,-73.5812165,-0.454396414
1033,QC,45.5368631,-73.5631319,2.100832901
1040,QC,45.4749958,-73.585377,0.944806621
1045,QC,45.4563851,-73.595479,0.95909823
1052,QC,45.5269531,-73.5585829,4.67914269
1056,QC,45.5301932,-73.5773074,4.703779182
1057,QC,45.5638672,-73.5734675,1.148019629
1069,QC,45.4707735,-73.6158029,0.176699148
